INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION,TONE
58,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,"People who vote for parties which target the most powerful are often mostly concerned about making it financially until the next month. Redistributing wealth from people who have way too much money seems fair, not threatening.",JEWS,V1,Conversational
60,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",Or maybe they want their culture to survive.,JEWS,V1,Confrontational
80,The only nation Jews don’t hate is their own and they are flooding Europe with Africans and Muslims.,I wonder how you account for refugees who are fleeing wars and a lack of security for their themselves and their families. Wars which are often directly or indirectly caused by Western powers who created long lasting problems abroad.,JEWS,V1,Confrontational
84,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"I can understand that you’re frustrated – austerity has hit so many of us horribly, but your blame is directed to the wrong people. Migrants are statistically less likely to claim benefits, plus they’re not easy to access anyway. Most people receiving benefits in the UK are actually in work, direct your anger towards better pay and conditions!",MIGRANTS,V1,Empathetic
86,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but we still bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist'. (Caption to a photo of a homeless person sleeping on a part bench)",How many people walked by and did nothing? Is the problem uncontrolled immigration or indifference of our society?,MIGRANTS,V1,Inquisitive
89,"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.",Gender equality is the key to a productive household as well as economy overall. To restrict women from entering all spheres of society is to reduce the potential of any country.,WOMEN,V1,Empathetic
102,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,Brexit is a good thing then?,JEWS,V1,Inquisitive
108,"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)","Anti-hate organisations are doing brilliant work, and getting rid of hate speech isn't a bad thing.",other,V1,Empathetic
111,"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.",If we analyse the current political state of Britain at the moment it doesn't prove much about a man's ability to run the country smoothly. Politics is hard for all genders.,WOMEN,V1,Conversational
113,"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",So you are saying that you'd rather be nuked than live with them?,JEWS,V1,Inquisitive
114,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,Are you worried about government expenditure? Because it has been shown that migration reduces pressure on government debt over time: migrants are more likely to be workers that contribute to our economy with taxes.,MIGRANTS,V1,Inquisitive
127,"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.","Our goal as a democratic society is to have a more positive and respectful political environment, where inclusivity and representation of all types of people is enforced. Therefore women do belong in politics.",WOMEN,V1,Empathetic
128,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"Sorry, but you should consider the percentage of the population within Great Britain... This makes them a minority, not the actual number in their respective countries.",MIGRANTS,V1,Conversational
133,Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"Not sure how Jewish people could ""control"" Hollywood being a minority.",JEWS,V1,Conversational
141,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",This reasoning is the equivalent of the stigma around men showing emotions and as equally unhelpful.,WOMEN,V1,Confrontational
142,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","If the point of education is to learn about the world and inform people about things that happen in nature, then same sex relationship is one of these things to be informed about, since it happens within many species of animals...",LGBT+,V1,Conversational
154,Immigrants just don't want to integrate. Let's kick them out!,Immigrants are integrating very well into our society and it seems that they have reached a better level of English than other people.,MIGRANTS,V1,Conversational
160,Are you saying that we should put illegal immigrants in houses? You have to be kidding!,What's wrong about putting people in need in houses which are not being used?,MIGRANTS,V1,Inquisitive
166,"For all the people who believe that without migration NHS cannot do it, I would like to tell you that we have already done it in history! (precisely before the 90s and before Tony Blair)","Migration has always been part of the history of humanity and even the British, when they needed it, invited people to migrate. Right now, social media and news programs make it seem like a scandal, putting all foreigners in a bad light.",MIGRANTS,V1,Confrontational
177,Go and reat the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,The alleged conspiracy of the protocols is so plainly fictional that it is nothing but bad fiction. It lacks even the colors of what normal fantasy books needs to possess. How is it possible that a person with a modicum of education can swallow such drivel?,JEWS,V1,Confrontational
179,Go and read the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,"Norman Cohn, a distinguished historian, ruthlessly analyzed the similaritiese between the 'Protocols' and ""Dialogue in Hell"" by Maurice Joly. It would be hard for anyone who has read that analysis to deny that ""The Protocols"" is an almost verbatim copy of the book from the French writer, or to sue a contemporary analogly, an example of 'fake news'.",JEWS,V1,Conversational
182,I hate those fucking rasta nigga,Why do you have a dislike for a race? They are just like us but with different culture.,POC,V1,Inquisitive
185,Also God hates gays,If God hates gays why did he create them? Because he is a sadist and want to punish them? What kind of god would do such a thing?,LGBT+,V1,Inquisitive
193,"Jews are selfish, cheap and greedy.","On the contrary: according to Jewish tradition, giving money to the poor and to others in need is not just encouraged, it is required. The Hebrew word tzedakah explains the concept.",JEWS,V1,Empathetic
196,Jew merchants are just a bunch of crooks.,"According to Jewish law, the seller must ensure that the buyer should benefit from any uncertainty in a transaction. For example, if someone wants to buy a pound of rice, Judaism requires the deli clerk to give the buyer a little extra, just in case the scale is not completely accurate.",JEWS,V1,Conversational
210,Jews were responsible for the 9/11 attack.,"For each historical period there is something Jews are accused of. Today, someone can even claim that Jews are responsible for the alien invasion!",JEWS,V1,Conversational
220,Jews are Christ Killers.,The Catholic Church’s stance on the issue today is completely different. They do not charge Jewish people anymore.,JEWS,V1,Confrontational
222,Jews are Christ Killers.,"Nowadays it is widely agreed upon that Jesus was executed by the Romans. The same Romans also executed tens of thousands of Jews by crucifixion, including two others on the day Jesus was executed.",JEWS,V1,Conversational
227,Jews think they are better than everyone else,"This is wrong. For example, differently from other religions, Judaism expresses the concept of the ""righteous gentile"", a non-Jew who decides to follows the Seven Laws of Noah. This set of laws is dedicated to the ""children of Noah"" – that is, all of humanity. Whoever follow these rules will receive the same rewards after death as a righteous Jew. So, Jews do not view being Jewish or being saved by God as an exclusive status reserved only for those who happen to be born into the faith.",JEWS,V1,Conversational
231,"Since Jews think they are the “chosen people”, they ask for special privileges and believe they can be above the rules.",I believe that Jews just desire the same rights to practice their religion as anyone else.,JEWS,V1,Conversational
242,"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood.",I'm sorry but the idea of a Jewish race is anything other than a figment of the anti-Semitic imagination.,JEWS,V1,Conversational
246,Only Jews could have been smart enough to plan and execute such a complicated and intricate plot as 9/11,"This myth plays into classic anti-Semitism: Jews control the world, and conspire to manipulate the rest of society, has characteristics of Nazi propaganda –– the Jews being the source of all evil.",JEWS,V1,Conversational
247,Only Jews could have been smart enough to plan and execute such a complicated and intricate plot as 9/11,May I ask you where did you get this informaton?,JEWS,V1,Inquisitive
252,"The British people should have right to social housing, not immigrants.","Even if migrants who are working were eligible, since most of them are single they would be unlikely to qualify.",MIGRANTS,V1,Confrontational
254,"Without migration, Britain’s housing problems would be solved","The gap between offer and demand is so big that even if migration stopped completely, new housebuilding would still fall well short of what’s required.",MIGRANTS,V1,Confrontational
261,Asylum seekers and refugees can get free council housing,"This is rarely true: just a very small number of refugees get social housing when they arrive. For example those who come directly here on special schemes, like some Syrians resettled from refugee camps.",MIGRANTS,V1,Conversational
262,Migrants put a strain on public services,The Migration Observatory has collated the evidence on whether migrants pay more in taxes than they receive in services. Almost all the studies shows that they do.,MIGRANTS,V1,Confrontational
268,"Jews are selfish, cheap and greedy.","On the contrary: giving money to the poor is not just encouraged, it is mandatory, like all commandments in Jewish law.",JEWS,V1,Conversational
269,Jew merchants are just a bunch of crooks.,"In Jewish law, the seller must ensure that the buyer benefits from the transaction.",JEWS,V1,Empathetic
272,Jews are born greedy,"The idea that Jews are born greedy arises from medieval stereotypes, that's the only truth.",JEWS,V1,Confrontational
278,Jews control the u.s. government and have a secret plot to take over the world,"Individuals who identify as Christians, or as Muslims, or as afro-american have succeeded as well in US politics. There is no secret Jews conspiracy to rule the world.",JEWS,V1,Confrontational
280,Jews made the 9/11 attack.,"Jews have been the traditional scapegoat for millennia, 9/11 is not an exception.",JEWS,V1,Confrontational
282,Jews made the 9/11 attack.,Of course! And they also ended the age of dinosaurs and had an agreement with Sauron to kill all the hobbits! I'm just not sure about their reason though...,JEWS,V1,Conversational
291,Jews think they are better than everyone else,"Just for the records: Jews interpret the “chosen people” idea as an ethical responsibility, not as a moral superiority.",JEWS,V1,Conversational
292,Jews think they are better than everyone else,Jews do not view being Jewish as an exclusive status for accessing God's glory. So how can they feel superior?,JEWS,V1,Inquisitive
293,Jews think they are better than everyone else,"This is not true, for Judaism every person is equal in front of god, regardless of religion. Judaism says that whoever decides to follows the Seven Laws of Noah will receive salvation.",JEWS,V1,Confrontational
295,Jews think they are so special,Jews feel a special connection with their heritage (as most groups do). That's all.,JEWS,V1,Conversational
297,"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” is inherited through blood.","I wonder if stupidity is also ""inherited through blood"".",JEWS,V1,Conversational
299,"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood.","Jews resemble their non-Jewish neighbors in all the countries around the world. So by your logic,every human is malevolent!",JEWS,V1,Conversational
300,"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood.",Jews from Eastern Europe tend to look like Eastern Europeans; Jews from Ethiopia tend to look like Ethiopians; Jews from India tend to look like Indians. And so on and so forth: so is every human malevolent then?,JEWS,V1,Inquisitive
307,"Immigrants are overrunning our country, and are here illegally","Did you know that close to 47% of immigrants in the US are naturalized citizens? Furthermore, lawful permanent residents, students and workers on visas, refugees and people seeking asylum are not counted in the above percentage. So, my question is: where are all these illegal immigrants?",MIGRANTS,V1,Inquisitive
321,Immigrants hurt the economy of our country by taking jobs and services without paying taxes.,Did you know that immigrants pay between $90 and $140 billion each year in taxes?,MIGRANTS,V1,Inquisitive
324,Immigrants hurt the finance of our country by taking jobs and services without paying taxes.,"Undocumented immigrants pay around 8% of their income in taxes, which is higher than the effective tax rate of the top 1 percent of all taxpayers in the U.S... So the question is: who is really hurting the finances of our country?",MIGRANTS,V1,Inquisitive
326,Immigrants are entering the U.S. just to obtain welfare and other benefits.,"Many studies have shown that immigrants tend to pay more in taxes than they receive in benefits. So the benefits they receive are not for free, but well paid back.",MIGRANTS,V1,Empathetic
327,Immigrants are entering the U.S. just to obtain welfare and other benefits.,Many studies have shown that immigrants tend to pay more in taxes than they receive in benefits. This means that they also cover the cost of the welfare for some U.S. nativeborn.,MIGRANTS,V1,Conversational
330,Immigrants are entering the U.S. just to obtain welfare and other benefits.,"What you are saying is nonsensical: undocumented immigrants are not eligible for federal public benefits apart from very specific execeptions. In addition, most immigrants with lawful status are not entitled to these benefits if they have been in the country for less than five years.",MIGRANTS,V1,Confrontational
338,Immigrants are coming to the U.S. to have babies here.,"If so, we would expect the same number of women and men entering US. Still this is not the case. How can you explain this?",MIGRANTS,V1,Inquisitive
341,Immigrants are coming to the U.S. to have babies here.,U.S. citizens cannot obtain a green card for a foreign parent until they are 21. The parent would have to live as an undocumented immigrant for a very long time. It does not really make sense.,MIGRANTS,V1,Confrontational
342,Immigrants are coming to the U.S. to have babies here.,"Undocumented immigrants consistently cite reasons for migrating other than the desire to have a baby here. Sensible, because any son/daughter cannot obtain a green card for the foreign parent until they are 21.",MIGRANTS,V1,Conversational
346,Immigrants are bringing diseases into the U.S.,"There is no evidence that immigrants were the source of any recent outbreak in the U.S. Furthermore, according to the WHO, many countries from which immigrants come have higher vaccination rates than the U.S.",MIGRANTS,V1,Confrontational
350,Terrorists are infiltrating the U.S. across the border with Mexico.,The vast majority of those accused of terrorism since 2002 in U.S. are U.S. citizens. Maybe we should look into the homeland situation rather than the Mexican one.,MIGRANTS,V1,Confrontational
358,"Fucking bleeding heart, why don't you host migrants in your house",There are already examples of widespread humanitarian hosting.,MIGRANTS,V1,Confrontational
361,"Fucking bleeding heart, take migrants home with you.",There need to be many more programmes offering asylum and resettlement.,MIGRANTS,V1,Empathetic
363,migrants steal our jobs,"In fact, they often accept jobs that we do not want to do anymore.",MIGRANTS,V1,Confrontational
367,migrants steal our jobs,Don't you think that people who arrive should have the opportunity to work if they have the skills,MIGRANTS,V1,Inquisitive
383,migrants steal our jobs,What kind of work are you referring to?,MIGRANTS,V1,Inquisitive
385,migrants steal our jobs,What kind of work are you referring to?,MIGRANTS,V1,Inquisitive
387,migrants steal our jobs,The reality is that the jobs that are done by asylum seekers are often declined by our compatriots...,MIGRANTS,V1,Conversational
388,migrants steal our jobs,They cannot steal a job that is offered or granted,MIGRANTS,V1,Conversational
391,migrants steal our jobs,Many economic sectors are kept alive by their work.,MIGRANTS,V1,Confrontational
395,migrants steal our jobs,"To be honest, there are not many Italians who would accept a 2 euros daily salary to work in the fields.",MIGRANTS,V1,Conversational
404,migrants steal our jobs,We often do not even give them the chance to work due to very restrictive labor laws,MIGRANTS,V1,Empathetic
405,migrants steal our jobs,"I am a bit puzzled: often they are accused of being lazy, now they are accused of working?",MIGRANTS,V1,Inquisitive
409,migrants steal our jobs,"If the stolen job is an illegal one, then it is difficult to steal.",MIGRANTS,V1,Confrontational
421,migrants say they are poor but they have the Iphone,The mobile phone serves them to keep in touch with their family.,MIGRANTS,V1,Confrontational
423,migrants say they are poor but they have the Iphone,"The reason why migrants arrive here is not always economic, many of them are wealthy people fleeing persecution and wars.",MIGRANTS,V1,Empathetic
425,We should eliminate gays.,Do you really want to kill other human beings? Based on what exactly? On private sexual preferences?,LGBT+,V1,Inquisitive
426,We should eliminate gays.,Do you really want to kill someone?,LGBT+,V1,Inquisitive
432,Gypsies make their children live in degradation,It is not a choice!,other,V1,Confrontational
437,"Fagshit, two men cannot replace a father and a mother",Imagine a child alone in an orphanage. Don't you think he would rather be loved by two people of the same sex than having no parents at all?,LGBT+,V1,Inquisitive
460,We are forced to economically support all of them,"The integration system should be accelerated because once they are integrated into the social and production structure, they contribute to GDP (to date, for example, despite the long lead times, they contribute 2.4%)",MIGRANTS,V1,Confrontational
461,We are forced to economically support all of them,Many migrants work.,MIGRANTS,V1,Confrontational
471,MIgrants are not running away from wars.,Actually the fear of what they risk in their country is by far stronger than that of crossing the sea on a makeshift boat.,MIGRANTS,V1,Conversational
489,More than half of the prisoners in our jails are foreigners,"This is because of the fact that the poorest cannot afford good lawyers, they have less chances to access alternative punishments such as house arrest etc ...",MIGRANTS,V1,Conversational
493,These dogs come here to rape and kill our women,Domestic violence committed in Italian families mostly goes unreported.,MIGRANTS,V1,Confrontational
500,Gypsies are a bunch of thieves.,"Many Gypsies have regular jobs, but we do not know, because they don't need to tell.",other,V1,Empathetic
501,"If you are nomads, then go somewhere else but not in my country.",In reality they are not nomads since they have resided permanently in many European countries for generations,other,V1,Confrontational
514,"Only 8% is a real refugee, others are illegal.","The figure of 8% on asylum seekers is real. I understand the point, but there are different types of international protection that increase the number of those entitled.",MIGRANTS,V1,Conversational
520,They are nomads. They are not entitled to have a house,Article 3 and Article 10 protect the right to housing!,other,V1,Conversational
523,"If they are nomads, they must be nomadic","For them it is not a choice, they are continuously evicted.",other,V1,Confrontational
526,"If they are nomads, they should stay nomadic.","Not recognising people's right to live as they prefer and to improve their lifestyle, such as housing or occupations, only causes an increase in crime.",other,V1,Confrontational
545,migrants rape our women.,Reports to the violence centers show that women are also raped by 'our' natives.,MIGRANTS,V1,Confrontational
549,migrants rape our women.,Rape is a crime regardless of who commits it. Full stop.,MIGRANTS,V1,Confrontational
557,We cannot allow gay people to donate blood. They could spread their mental illness and make other people gay via blood donation.,"Being gay doesn't affect blood receivers! It's not like being gay is in your blood. Gay people are the same as regular people and if they really wanted to donate, then they should because it can help society.",LGBT+,V1,Conversational
567,Faggots are perverts and want to indoctrinate our children. Let's ban them from schools!,"A ban for gay men merely propagates homophobic stereotypes, and so are you with what you are suggesting.",LGBT+,V1,Confrontational
569,Faggots abuse of their anus and then they want to clear their conscience by donating blood. Let's stop them!,"Limiting any healthy individual from donating is discriminatory, you should know that.",LGBT+,V1,Confrontational
576,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,Limiting donors to such an extent (i.e. by excluding all gay people) would limit the amount of available blood and potentially lead to shortages.,LGBT+,V1,Confrontational
577,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,"If Stem cell donations are allowed by MSMs, then so should blood.",LGBT+,V1,Confrontational
581,Gays are dangerous: they are spreading AIDS all around the world because they are promiscuous and fornicate with strangers!,"Age, Race, and Gender are categories that take precedence over Homosexuality. This is since such categories include both homosexual & heterosexual individuals; and are therefore higher risk categories than Homosexuality alone...",LGBT+,V1,Conversational
593,"In the West, women have legal equality, equal rights, and are protected from discrimination: they should stop busting our balls and whining.","Ok. But what about those many women, outside the western world, that still do not have such equality? It is important that women 'whine' all over the world to protect their rights.",WOMEN,V1,Inquisitive
605,Children with Down Syndrome may hinder the development process of other children. They should be isolated.,"Coexisting and studying with handicapped children helps develop sensitivity, insight and understanding",DISABLED,V1,Empathetic
606,Children with Down Syndrome may hinder the development process of other children. They should be isolated.,Children would develop greater empathy and understanding of human differences if they are allowed to interact instead of being separated.,DISABLED,V1,Empathetic
616,"Downy children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.","Coeducation benefits neurotypical children as much as Down Syndrome children, as they are surrounded by positive examples of care and attention from authority figures in the knowledge that they, too, will be looked after if in need.",DISABLED,V1,Empathetic
635,"Some races have lower physical and cognitive abilities, this make our race unique.","In the sense of those traits, at the individual level, we are all equally unique , making the concept of race useless.",other,V1,Confrontational
639,Your race determins your role in society and laslty your value to it. That is why some races are just pieces of human waste.,"All humans have intrinsic value at birth; such value is immeasurable and thus, for all intents and purposes, equal between persons.",other,V1,Empathetic
645,This is an invasion: we cannot coexist with millions of strangers that do not want to integrate.,Different cultures have different practices for a variety of social interactions and situations. We must allow for exchanges so that the best practices can be utilized by all.,MIGRANTS,V1,Empathetic
650,This is an invasion: Millions of strangers jeopardizing our race and culture.,It seems to me that your words derive from fear: the root of intolerance and violence is fear. Respect and openess can help combat that and thus end the fear of an alleged invasion.,MIGRANTS,V1,Conversational
652,There is an invasion on a level never seen before in history. Millions of people pouring across our borders replacing our race and culture.,"You know what? We need skilled migrants labour, because it helps economic growth and ultimately to preserve our culture that would otherwise collapse.",MIGRANTS,V1,Confrontational
653,There is an invasion on a level never seen before in history. Millions of people pouring across our borders replacing our race and culture.,The movement and migration of people from different cultures is innevitable in a globalized world.,MIGRANTS,V1,Conversational
657,Multiculturalism is the death of western societies and also a mortal threat to minorities that are not protected by universal laws.,Multiculturalism prevents ethnocentrism and racism.,MIGRANTS,V1,Confrontational
671,Societal disapproval of fatty may encourage them to take healthier habits without directly being bullied.,"Being perceived as overweight is already one of the major reasons people get bullied, and in the end it makes no difference if the bullied person loses weight.",other,V1,Empathetic
672,Societal disapproval of fatty may encourage them to take healthier habits without directly being bullied.,"Did you consider children? Children are often the most exposed to 'fat bullying'. Of overweight 6th graders, 24% of boys and 30% of girls were teased and bullied on a daily basis for their weight. And these figures double for high-school students! [link]",other,V1,Confrontational
674,"I'm not calling for bullying or body-shaming fat people, just for some societal disapproval.","This is just a terminological nuance. Once body-shaming of obese people is normalised by your definition of ""societal disapproval"", it will be difficult to ensure that individual members of society carefully consider their exact message before treating overweight people with rudeness.",other,V1,Confrontational
677,Shaming Fatties is good to make them taking healthier habits.,The intent behind the shaming act does not matter to the person being shamed. They may also internalize the shame and come to believe that they are a bad person.,other,V1,Empathetic
682,Shaming Fatties is just for their good.,Hate crimes attack an individual's unchangeable characteristics and cause long lasting feelings of helplessness and powerlessness. Obese people are likely to feel the same way.,other,V1,Empathetic
688,There are teachers with personal or political LGBT biases and they will end up causing more harm than good.,"Slippery Slope Fallacy. The solution is not to avoid trying, even though there could be negative effects. If it was mandated that children should be taught about gender identity / sexual orientation, but there were teachers which allowed personal bias to interfere with that, then the issue becomes how to prevent those teachers from doing so. This does not mean it's a 'bad idea' to pass such a mandate.",LGBT+,V1,Confrontational
689,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school. This is a too polarized debate.,"Many points in history are also subjects of polarized debate, but they still can be, and are, taught objectively.",LGBT+,V1,Conversational
695,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,"Developing a curriculum for this also means that teachers get to learn things that they might not otherwise have considered, which can make them more effective and compassionate as educators.",LGBT+,V1,Empathetic
702,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,"Some families are very conservative and openly homophobic. Most likely, they wouldn't discuss the topic. Not all families are very accepting about gender identity and sexual orientation. If it was taught in school, it would help children understand more about themselves.",LGBT+,V1,Empathetic
704,I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,"It is divisive only in its extreme form, trying to replace patriarchy with matriarchy, going beyond equality.",WOMEN,V1,Confrontational
705,I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,"Feminism can't be blamed for being ""divisive"" or ""adversarial"" because society and the sexes were more divided and adversarial before the time of feminism. More women and men are in agreement on feminist issues now, than when sexist beliefs were dominant in society. This unity is only growing, with more and more people understanding the finer points of true egalitarian society. The entrenched, recalcitrant sexists who make the exception should only blame themselves.",WOMEN,V1,Conversational
715,I'm tired of woman taking part in political debate. Feminism is a divisive force in society.,"There are still groups trying to reverse legal protections for women's rights that have only existed since the last century. Even if one were to suppose that womend didn't need more rights, we need feminists just to keep things from going backwards.",WOMEN,V1,Confrontational
725,Fat people are a burden to society because of their unhealthy choices.,It is discriminatory to shame people for an involuntary characteristic.,other,V1,Confrontational
731,What is the point in listening to Muslim women? They are all retarded.,"Baroness Warsi, Rashida Tlaib, Ilhan Omar, Malala Yousafzai- I could go on. Just because powerful and intelligent Muslim women are overlooked it does not mean that they do not exist.",MUSLIMS,V1,Empathetic
734,Islam is irrational and incompatible with science.,Ever heard of Al-Khawarizmi? You have him to thank for quite a lot of mathematics and astronomy!,MUSLIMS,V1,Conversational
742,We cannot even celebrate Christmas in our own country for fear of offending Muslims.,Show me evidence of this?,MUSLIMS,V1,Inquisitive
749,Islam is irrational and incompatible with science.,We use Arabic numbers.,MUSLIMS,V1,Confrontational
754,"Those White women converting to Islam are the saddest, self-loathers you will ever meet. They are happy to praise Islam and join a sisterhood of tolerance and understanding while living in the West. Try living in Pakistan, Saudi Arabia, or the Sudan.","With all the anti Islamic rhetoric floating around, do think they have chosen that faith because it's easy?",MUSLIMS,V1,Inquisitive
755,Every Muslim is a potential terrorist.,The majority of Muslims worldwide are peaceful.,MUSLIMS,V1,Confrontational
772,"This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.",Evidence?,MUSLIMS,V1,Inquisitive
773,"They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.","When you say 'cult' you imply a minor religious group, but isn't Islam one of the worlds major religions?",MUSLIMS,V1,Inquisitive
774,Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,Perhaps you should monitor your own hate speech before pointing the finger at others?,MUSLIMS,V1,Inquisitive
775,"Why must Islam invade every country? That is just totalitarian. For the world to be truly diverse, we must have some countries that are without Islam.","I am not sure I would use 'invasion' to describe the spead of a particular faith or belief, but isnt' that what religions do. Spead; by text, by preaching, by word of mouth, by proselytisation?",MUSLIMS,V1,Inquisitive
779,What is the point in listening to Muslim women? They are all retarded.,Grow up.,MUSLIMS,V1,Confrontational
780,"Not all Muslims are terrorists, but all terrorists are Muslims.","Studies in the US show the majority of terrorist incidents are committed by right-wing extremists, not Muslims. Be critical of what you read, the news is very biased.",MUSLIMS,V1,Conversational
791,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,I agree that we need to tackle this serious breach of human rights but scapegoating isn't helping us target the real problem.,MUSLIMS,V1,Conversational
796,Muslims have no place in civilised Europe.,What is wrong with Muslims living in Europe?,MUSLIMS,V1,Inquisitive
806,"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.","Dear friend, first of all, sharia law and Islam are not extreme. Sharia law is guidance for the goal of leading humanity close to God and to live in kindness and justice with God's creation. Second of all, jihad, based on the concept of Muslim, means struggle for the advancement of oneself within the guidelines of Islam. All these reveal that Islam is a peaceful religion.",MUSLIMS,V1,Empathetic
811,"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",This is not true. How can you say this about an entire faith?,MUSLIMS,V1,Confrontational
